stationname,parameter,date,hour,conc
Congonhas,CO,2020-04-09,13,0.3
Congonhas,CO,2020-04-09,14,0.5
Congonhas,CO,2020-04-09,15,0.5
Congonhas,CO,2020-04-09,16,0.6
Congonhas,CO,2020-04-09,17,0.6
Congonhas,CO,2020-04-09,18,0.6
Congonhas,CO,2020-04-09,19,0.7
Congonhas,CO,2020-04-09,20,0.6
Congonhas,CO,2020-04-09,21,0.4
Congonhas,CO,2020-04-09,22,0.5
Congonhas,CO,2020-04-09,23,0.4
Congonhas,CO,2020-04-09,24,0.4
Congonhas,CO,2020-04-10,1,0.3
Congonhas,CO,2020-04-10,2,0.2
Congonhas,CO,2020-04-10,3,0.2
Congonhas,CO,2020-04-10,4,0.2
Congonhas,CO,2020-04-10,5,0.2
Congonhas,CO,2020-04-10,6,0.3
Congonhas,CO,2020-04-10,7,0.2
Congonhas,CO,2020-04-10,8,0.2
Congonhas,CO,2020-04-10,9,0.2
Congonhas,CO,2020-04-10,10,0.2
Congonhas,CO,2020-04-10,11,0.3
Congonhas,CO,2020-04-10,12,0.3
Congonhas,CO,2020-04-10,13,0.3
Congonhas,CO,2020-04-10,14,0.4
Congonhas,CO,2020-04-10,15,0.3
Congonhas,CO,2020-04-10,16,0.3
Congonhas,CO,2020-04-10,17,0.3
Congonhas,CO,2020-04-10,18,0.3
Congonhas,CO,2020-04-10,19,0.4
Congonhas,CO,2020-04-10,20,0.4
Congonhas,CO,2020-04-10,21,0.4
Congonhas,CO,2020-04-10,22,0.4
Congonhas,CO,2020-04-10,23,0.2
Congonhas,CO,2020-04-10,24,0.2
Congonhas,CO,2020-04-11,1,0.2
Congonhas,CO,2020-04-11,2,0.1
Congonhas,CO,2020-04-11,3,0.1
Congonhas,CO,2020-04-11,4,0.1
Congonhas,CO,2020-04-11,5,0.1
Congonhas,CO,2020-04-11,6,0.3
Congonhas,CO,2020-04-11,7,0.3
Congonhas,CO,2020-04-11,8,0.3
Congonhas,CO,2020-04-11,9,0.3
Congonhas,CO,2020-04-11,10,0.3
Congonhas,CO,2020-04-11,11,0.3
Congonhas,CO,2020-04-11,12,0.3
Congonhas,CO,2020-04-11,13,0.4
Congonhas,CO,2020-04-11,14,0.4
Congonhas,CO,2020-04-11,15,0.5
Congonhas,CO,2020-04-11,16,0.3
Congonhas,CO,2020-04-11,17,0.4
Congonhas,CO,2020-04-11,18,0.4
